Rate,Depth,Thick,Temp,Perm,Poro,Time,Weight
200,1498,500,80,9,0.1,1,0.073
200,1495,500,80,9,0.1,1,0.073
200,1495,500,80,9,0.1,1,0.073
200,1502,500,80,9,0.1,1,0.073
200,1492,500,80,9,0.1,1,0.073
200,1491,500,80,9,0.1,1,0.073
200,1500,500,80,9,0.1,1,0.073
200,1503,500,80,9,0.1,1,0.073
200,1503,500,80,9,0.1,1,0.073
200,1498,500,80,9,0.1,1,0.073
200,1502,500,80,9,0.1,1,0.073
200,1498,500,80,9,0.1,1,0.073
200,1502,500,80,9,0.1,1,0.073
200,1512,500,80,9,0.1,1,0.073
200,1499,500,80,9,0.1,1,0.073
200,1504,500,80,9,0.1,1,0.073
200,1501,500,80,9,0.1,1,0.073
200,1500,500,80,9,0.1,1,0.073
200,1499,500,80,9,0.1,1,0.073
200,1491,500,80,9,0.1,1,0.073
200,1503,500,80,9,0.1,1,0.073
200,1503,500,80,9,0.1,1,0.073
200,1500,500,80,9,0.1,1,0.073
200,1503,500,80,9,0.1,1,0.073
200,1497,500,80,9,0.1,1,0.073
200,1497,500,80,9,0.1,1,0.073
200,1500,500,80,9,0.1,1,0.073
200,1500,500,80,9,0.1,1,0.073
200,1500,500,80,9,0.1,1,0.073
200,1499,500,80,9,0.1,1,0.073
200,1504,500,80,9,0.1,1,0.073
200,1501,500,80,9,0.1,1,0.073
200,1504,500,80,9,0.1,1,0.073
200,1506,500,80,9,0.1,1,0.073
200,1500,500,80,9,0.1,1,0.073
200,1497,500,80,9,0.1,1,0.073
200,1513,500,80,9,0.1,1,0.073
200,1500,500,80,9,0.1,1,0.073
200,1502,500,80,9,0.1,1,0.073
200,1500,500,80,9,0.1,1,0.073
200,1503,500,80,9,0.1,1,0.073
200,1505,500,80,9,0.1,1,0.073
200,1505,500,80,9,0.1,1,0.073
200,1500,500,80,9,0.1,1,0.073
200,1505,500,80,9,0.1,1,0.073
200,1508,500,80,9,0.1,1,0.073
200,1507,500,80,9,0.1,1,0.073
