Latitude,Longitude,Rate,Depth,Thick,Temp,Perm,Poro,Time,Weight,Injectivity_ton/(day*MPa),Cost_M$,PlumeRadius_m
48.775695,-100.958537,1000,1480,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.935645,-100.958991,1000,1492,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.856669,-100.969649,1000,1490,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.804853,-100.969683,1000,1498,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.804853,-100.969683,1000,1498,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.88487,-100.969689,1000,1496,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.837625,-100.969756,1000,1496,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.976241,-100.972977,1000,1458,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.972384,-100.973344,1000,1456,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.979804,-100.973407,1000,1450,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.98762,-100.973572,1000,1447,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.969234,-100.974049,1000,1460,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.983092,-100.974974,1000,1447,390,40,8.3,0.1,25,9.125,152.6099,12.4731,199.2409
48.983976,-100.979092,1000,1476,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.980358,-100.979122,1000,1499,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.976652,-100.979172,1000,1476,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.976652,-100.979172,1000,1476,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.97305,-100.979221,1000,1476,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.969157,-100.979273,1000,1476,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.986685,-100.979785,1000,1480,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.79793,-100.97983,1000,1491,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.976786,-100.984468,1000,1503,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.987557,-100.984568,1000,1495,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.976703,-100.984592,1000,1499,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.976703,-100.984592,1000,1499,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.980321,-100.984611,1000,1495,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.983757,-100.984744,1000,1503,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.983757,-100.984744,1000,1503,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
